Class Name|Field Name
co_mst|UF_BackOrder
co_mst|Uf_CoFinalDestination
co_mst|Uf_ExcludeAutoItemOnOrder
co_mst|Uf_LineDisc
co_mst|Uf_PickListEnabled
co_mst|Uf_Reseq
coitem_mst|Uf_KPISeq
coitem_mst|Uf_LineDisc
country_mst|Uf_FlagForCE
custaddr_mst|Uf_FacilityID
customer_mst|Uf_CustomerCreatedDate
customer_mst|Uf_FacilityID
famcode_mst|Uf_AutoCreatedItem
famcode_mst|Uf_ExcludeForDiscount
item_mst|Uf_GTIN
item_mst|Uf_Itm_CEMarked
item_mst|Uf_Itm_DateToMarket
item_mst|Uf_Itm_ExcludeFromAutoAdd
item_mst|Uf_Itm_TravelerID
item_mst|Uf_SerialShip
itemcust_mst|uf_contractid
itemcustprice_mst|uf_contractid
loc_mst|Uf_AllowedToShipFrom
lot_mst|Uf_BarCode
lot_mst|Uf_ExpiryDate
pck_hdr|Uf_Closed
pck_hdr|Uf_CloseDateTime
pck_item_mst|Uf_QtyOpen
pck_item_mst|Uf_TotalQtyPacked
pck_item_mst|Uf_TotalQtyShipped
SSSPJCO|ssspj_carrier_account
SSSPJCO|ssspj_carrier_bill_to
SSSPJCO|ssspj_charge
SSSPJCO|ssspj_override
SSSPJCO|ssspj_thirdparty_country
SSSPJCO|ssspj_thirdparty_name
SSSPJCO|ssspj_thirdparty_zip
SSSPJCustomer|ssspj_charge
SSSPJCustomer|ssspj_thirdparty_country
SSSPJCustomer|ssspj_thirdparty_name
SSSPJCustomer|ssspj_thirdparty_zip
SSSPJFSPckHdr|ssspj_pj_processed
SSSPJFSPckHdr|ssspj_pj_sent
SSSPJFSPckHdr|ssspj_pj_shipment
SSSPJShipcode|ssspj_ShipCodeXRef
SSSPJShipment|ssspj_carrier_account
SSSPJShipment|ssspj_carrier_bill_to
SSSPJShipment|ssspj_charge
SSSPJShipment|ssspj_override
SSSPJShipment|ssspj_pj_processed
SSSPJShipment|ssspj_pj_sent
SSSPJShipment|ssspj_pj_shipment
SSSPJShipment|ssspj_thirdparty_country
SSSPJShipment|ssspj_thirdparty_name
SSSPJShipment|ssspj_thirdparty_zip
SSSPJSro|ssspj_carrier_account
SSSPJSro|ssspj_carrier_bill_to
SSSPJSro|ssspj_charge
SSSPJSro|ssspj_override
SSSPJSro|ssspj_thirdparty_country
SSSPJSro|ssspj_thirdparty_name
SSSPJSro|ssspj_thirdparty_zip
